   R( 23,  9) =       6.7128
   R( 23, 10) =       5.5526
   R( 23, 11) =       4.6200
   R( 23, 12) =       5.5526
   R( 23, 13) =       7.0570
   R( 23, 14) =       8.0022
   R( 23, 15) =       7.6999
   R( 23, 16) =       7.0571
   R( 23, 17) =       8.1489
   R( 23, 18) =      10.0984
   R( 23, 19) =       9.2399
   R( 23, 20) =       9.6173
   R( 23, 21) =       2.6674
   R( 23, 22) =       1.5400
   R( 24,  0) =       6.7128
   R( 24,  1) =       5.3348
   R( 24,  2) =       4.0745
   R( 24,  3) =       5.3348
   R( 24,  4) =       4.6201
   R( 24,  5) =       5.5526
   R( 24,  6) =       7.0573
   R( 24,  7) =       8.1491
   R( 24,  8) =       6.7128
   R( 24,  9) =       8.0022
   R( 24, 10) =       7.0572
   R( 24, 11) =       6.1601
   R( 24, 12) =       7.0572
   R( 24, 13) =       8.5742
   R( 24, 14) =       9.3676
   R( 24, 15) =       9.2399
   R( 24, 16) =       8.5743
   R( 24, 17) =       9.6173
   R( 24, 18) =      11.6268
   R( 24, 19) =      10.7800
   R( 24, 20) =      11.1052
   R( 24, 21) =       4.0745
   R( 24, 22) =       2.6674
   R( 24, 23) =       1.5400
   R( 25,  0) =       8.1490
   R( 25,  1) =       7.0572
   R( 25,  2) =       5.5525
   R( 25,  3) =       4.6201
   R( 25,  4) =       5.3347
   R( 25,  5) =       4.0745
   R( 25,  6) =       5.3349
   R( 25,  7) =       6.7128
   R( 25,  8) =       6.1601
   R( 25,  9) =       7.0572
   R( 25, 10) =       8.0021
   R( 25, 11) =       6.7127
   R( 25, 12) =       7.0572
   R( 25, 13) =       9.3673
   R( 25, 14) =       8.5745
   R( 25, 15) =       9.6172
   R( 25, 16) =       8.5743
   R( 25, 17) =       9.2401
   R( 25, 18) =      11.6268
   R( 25, 19) =      11.1051
   R( 25, 20) =      10.7801
   R( 25, 21) =       4.0745
   R( 25, 22) =       2.6674
   R( 25, 23) =       3.0800
   R( 25, 24) =       2.6673
   R( 26,  0) =       7.0572
   R( 26,  1) =       6.1600
   R( 26,  2) =       4.6199
   R( 26,  3) =       3.0800
   R( 26,  4) =       4.0744
   R( 26,  5) =       2.6674
   R( 26,  6) =       4.0746
   R( 26,  7) =       5.3348
   R( 26,  8) =       4.6200
   R( 26,  9) =       5.5526
   R( 26, 10) =       6.7127
   R( 26, 11) =       5.3347
   R( 26, 12) =       5.5526
   R( 26, 13) =       8.0019
   R( 26, 14) =       7.0573
   R( 26, 15) =       8.1488
   R( 26, 16) =       7.0571
   R( 26, 17) =       7.7000
   R( 26, 18) =      10.0985
   R( 26, 19) =       9.6172
   R( 26, 20) =       9.2401
   R( 26, 21) =       2.6674
   R( 26, 22) =       1.5400
   R( 26, 23) =       2.6673
   R( 26, 24) =       3.0800
   R( 26, 25) =       1.5400
   R( 27,  0) =       8.0022
   R( 27,  1) =       6.7128
   R( 27,  2) =       5.3347
   R( 27,  3) =       5.5526
   R( 27,  4) =       5.5526
   R( 27,  5) =       5.3348
   R( 27,  6) =       6.7129
   R( 27,  7) =       8.0022
   R( 27,  8) =       7.0573
   R( 27,  9) =       8.1490
   R( 27, 10) =       8.1490
   R( 27, 11) =       7.0572
   R( 27, 12) =       7.7001
   R( 27, 13) =       9.6172
   R( 27, 14) =       9.6175
   R( 27, 15) =      10.0984
   R( 27, 16) =       9.2400
   R( 27, 17) =      10.0985
   R( 27, 18) =      12.3201
   R( 27, 19) =      11.6267
   R( 27, 20) =      11.6268
   R( 27, 21) =       4.6201
   R( 27, 22) =       3.0801
   R( 27, 23) =       2.6674
   R( 27, 24) =       1.5400
   R( 27, 25) =       1.5400
   R( 27, 26) =       2.6674
   R( 28,  0) =       8.5744
   R( 28,  1) =       7.0573
   R( 28,  2) =       6.1601
   R( 28,  3) =       8.0022
   R( 28,  4) =       7.0572
   R( 28,  5) =       8.1490
   R( 28,  6) =       9.6174
   R( 28,  7) =      10.7801
   R( 28,  8) =       9.3675
   R( 28,  9) =      10.6695
   R( 28, 10) =       9.2401
   R( 28, 11) =       8.5744
   R( 28, 12) =       9.6173
   R( 28, 13) =      10.7799
   R( 28, 14) =      12.0279
   R( 28, 15) =      11.6267
   R( 28, 16) =      11.1051
   R( 28, 17) =      12.2234
   R( 28, 18) =      14.1144
   R( 28, 19) =      13.1577
   R( 28, 20) =      13.6879
   R( 28, 21) =       6.7127
   R( 28, 22) =       5.3347
   R( 28, 23) =       4.0745
   R( 28, 24) =       2.6673
   R( 28, 25) =       4.6199
   R( 28, 26) =       5.5525
   R( 28, 27) =       3.0799
   R( 29,  0) =       9.2401
   R( 29,  1) =       7.7001
   R( 29,  2) =       7.0573
   R( 29,  3) =       9.3676
   R( 29,  4) =       8.1490
   R( 29,  5) =       9.6174
   R( 29,  6) =      11.1053
   R( 29,  7) =      12.2236
   R( 29,  8) =      10.6696
   R( 29,  9) =      12.0279
   R( 29, 10) =      10.0985
   R( 29, 11) =       9.6174
   R( 29, 12) =      10.7801
   R( 29, 13) =      11.6266
   R( 29, 14) =      13.3370
   R( 29, 15) =      12.6054
   R( 29, 16) =      12.2234
   R( 29, 17) =      13.4255
   R( 29, 18) =      15.1673
   R( 29, 19) =      14.1143
   R( 29, 20) =      14.8513
   R( 29, 21) =       8.0022
   R( 29, 22) =       6.7128
   R( 29, 23) =       5.3348
   R( 29, 24) =       4.0745
   R( 29, 25) =       6.1600
   R( 29, 26) =       7.0572
   R( 29, 27) =       4.6200
   R( 29, 28) =       1.5401
   R( 30,  0) =      10.7801
   R( 30,  1) =       9.2401
   R( 30,  2) =       8.5744
   R( 30,  3) =      10.6696
   R( 30,  4) =       9.6174
   R( 30,  5) =      10.7801
   R( 30,  6) =      12.2236
   R( 30,  7) =      13.4256
   R( 30,  8) =      12.0279
   R( 30,  9) =      13.3369
   R( 30, 10) =      11.6268
   R( 30, 11) =      11.1052
   R( 30, 12) =      12.2234
   R( 30, 13) =      13.1576
   R( 30, 14) =      14.6908
