   R( 23, 16) =       4.0744
   R( 23, 17) =       6.1600
   R( 23, 18) =       4.0745
   R( 23, 19) =       2.6090
   R( 23, 20) =       4.0172
   R( 23, 21) =       4.5696
   R( 23, 22) =       1.5400
   R( 24,  0) =       5.3930
   R( 24,  1) =       5.6086
   R( 24,  2) =       4.1317
   R( 24,  3) =       4.6706
   R( 24,  4) =       2.6970
   R( 24,  5) =       4.1129
   R( 24,  6) =       5.3642
   R( 24,  7) =       3.0806
   R( 24,  8) =       4.6205
   R( 24,  9) =       5.5389
   R( 24, 10) =       5.3059
   R( 24, 11) =       4.0365
   R( 24, 12) =       2.6387
   R( 24, 13) =       4.5696
   R( 24, 14) =       4.0172
   R( 24, 15) =       5.4965
   R( 24, 16) =       5.2763
   R( 24, 17) =       4.6706
   R( 24, 18) =       4.5696
   R( 24, 19) =       1.5400
   R( 24, 20) =       2.6673
   R( 24, 21) =       3.0800
   R( 24, 22) =       2.6090
   R( 24, 23) =       1.4898
   R( 25,  0) =       5.6086
   R( 25,  1) =       5.3930
   R( 25,  2) =       4.6706
   R( 25,  3) =       5.5948
   R( 25,  4) =       4.0940
   R( 25,  5) =       5.3642
   R( 25,  6) =       6.7362
   R( 25,  7) =       4.6205
   R( 25,  8) =       6.1604
   R( 25,  9) =       7.0465
   R( 25, 10) =       6.6898
   R( 25, 11) =       5.3059
   R( 25, 12) =       4.0558
   R( 25, 13) =       5.5107
   R( 25, 14) =       4.5696
   R( 25, 15) =       5.2763
   R( 25, 16) =       5.4965
   R( 25, 17) =       4.1317
   R( 25, 18) =       4.0172
   R( 25, 19) =       2.6674
   R( 25, 20) =       3.0800
   R( 25, 21) =       2.6673
   R( 25, 22) =       3.0296
   R( 25, 23) =       2.6387
   R( 25, 24) =       1.5400
   R( 26,  0) =       8.1489
   R( 26,  1) =       8.0020
   R( 26,  2) =       7.0571
   R( 26,  3) =       7.7000
   R( 26,  4) =       5.5526
   R( 26,  5) =       7.0572
   R( 26,  6) =       8.1490
   R( 26,  7) =       5.3348
   R( 26,  8) =       6.7128
   R( 26,  9) =       7.0573
   R( 26, 10) =       6.1601
   R( 26, 11) =       4.6201
   R( 26, 12) =       4.0745
   R( 26, 13) =       4.0745
   R( 26, 14) =       2.6674
   R( 26, 15) =       2.6673
   R( 26, 16) =       3.0800
   R( 26, 17) =       6.7127
   R( 26, 18) =       1.5400
   R( 26, 19) =       4.5696
   R( 26, 20) =       5.4965
   R( 26, 21) =       5.2763
   R( 26, 22) =       1.5400
   R( 26, 23) =       2.6674
   R( 26, 24) =       3.0296
   R( 26, 25) =       2.6090
   R( 27,  0) =       7.0571
   R( 27,  1) =       6.7127
   R( 27,  2) =       6.1600
   R( 27,  3) =       7.0572
   R( 27,  4) =       5.3348
   R( 27,  5) =       6.7128
   R( 27,  6) =       8.0022
   R( 27,  7) =       5.5527
   R( 27,  8) =       7.0573
   R( 27,  9) =       7.7002
   R( 27, 10) =       7.0573
   R( 27, 11) =       5.5527
   R( 27, 12) =       4.6201
   R( 27, 13) =       5.3348
   R( 27, 14) =       4.0745
   R( 27, 15) =       4.0744
   R( 27, 16) =       4.6200
   R( 27, 17) =       5.3347
   R( 27, 18) =       2.6673
   R( 27, 19) =       4.0365
   R( 27, 20) =       4.5696
   R( 27, 21) =       4.0172
   R( 27, 22) =       2.6674
   R( 27, 23) =       3.0801
   R( 27, 24) =       2.6387
   R( 27, 25) =       1.4898
   R( 27, 26) =       1.5400
   R( 28,  0) =       6.7128
   R( 28,  1) =       8.0022
   R( 28,  2) =       5.3348
   R( 28,  3) =       4.0745
   R( 28,  4) =       3.0801
   R( 28,  5) =       2.6674
   R( 28,  6) =       1.5400
   R( 28,  7) =       2.6674
   R( 28,  8) =       1.5400
   R( 28,  9) =       2.6673
   R( 28, 10) =       4.0744
   R( 28, 11) =       4.6200
   R( 28, 12) =       4.0745
   R( 28, 13) =       6.1600
   R( 28, 14) =       7.0572
   R( 28, 15) =       9.6174
   R( 28, 16) =       8.5744
   R( 28, 17) =       8.1491
   R( 28, 18) =       9.3676
   R( 28, 19) =       4.6205
   R( 28, 20) =       5.5389
   R( 28, 21) =       7.0465
   R( 28, 22) =       6.7128
   R( 28, 23) =       5.3348
   R( 28, 24) =       5.5670
   R( 28, 25) =       7.0686
   R( 28, 26) =       8.0022
   R( 28, 27) =       8.1491
   R( 29,  0) =       8.0022
   R( 29,  1) =       9.3676
   R( 29,  2) =       6.7128
   R( 29,  3) =       5.3348
   R( 29,  4) =       4.6201
   R( 29,  5) =       4.0745
   R( 29,  6) =       2.6674
   R( 29,  7) =       4.0745
   R( 29,  8) =       2.6674
   R( 29,  9) =       3.0800
   R( 29, 10) =       4.6200
   R( 29, 11) =       5.5526
   R( 29, 12) =       5.3348
   R( 29, 13) =       7.0572
   R( 29, 14) =       8.1490
   R( 29, 15) =      10.7801
   R( 29, 16) =       9.6174
   R( 29, 17) =       9.6175
   R( 29, 18) =      10.6696
   R( 29, 19) =       6.1604
   R( 29, 20) =       7.0465
   R( 29, 21) =       8.5656
